"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","19/656","116/9521",0.163793103448276,2.37724716148024,4.05968656607471,0.000335311264039809,0.00233988947297345,0.00155762440732451,"653361/1536/5336/1535/4689/7852/3676/5579/10451/387/6494/5880/7408/2185/399/6093/5747/7430/5290",19
"Organismal Systems","Immune system","hsa04611","Platelet activation","20/656","126/9521",0.158730158730159,2.30376500193573,4.00744179222909,0.000362159395162053,0.00247347161376636,0.00164654775404024,"4067/5336/6850/695/387/3708/8773/7408/10672/6093/5294/7094/5499/5594/83706/5290/84876/208/4659/6786",20
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","28/656","205/9521",0.136585365853659,1.98236168947055,3.8678055464583,0.000371709805289538,0.00248580932287379,0.00165476075600387,"4067/6850/5366/5966/6672/2885/387/1026/9114/5925/7188/3190/7533/3716/3065/10971/5594/1388/7187/5290/2961/27044/581/10014/5610/7874/8841/3066",28
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","16/656","90/9521",0.177777777777778,2.58021680216802,4.09722752348875,0.0003795406031191,0.00248637823675982,0.00165513947224871,"3460/5777/5530/3091/3459/4794/5533/3716/5728/5594/5534/5290/5605/208/4775/148022",16
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","14/656","73/9521",0.191780821917808,2.78345305713331,4.16087045166539,0.000389980138967272,0.00250367249216988,0.00166665196232329,"7852/6598/684/27125/10015/5901/7514/9525/51497/4599/60489/6827/1025/27183",14
"Human Diseases","Cancer: specific types","hsa05214","Glioma","14/656","76/9521",0.184210526315789,2.67357991014121,3.9845868083304,0.000598362874455329,0.00376616632745413,0.00250707251835772,"5336/2885/5579/57118/1026/817/5925/5728/5594/5290/5605/581/208/369",14
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","12/656","60/9521",0.2,2.90274390243902,4.02178145075894,0.000675527359261433,0.00417008235236385,0.00277595250870589,"5336/5579/5530/5880/5747/5533/3315/5594/5534/5290/5605/208",12
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","27/656","203/9521",0.133004926108374,1.93039619127718,3.64489996637527,0.000715394434613009,0.00433286063227879,0.00288431122594718,"10094/4643/3569/5777/387/10096/81873/7456/3071/3654/10097/10672/382/6093/2768/10109/10093/7430/10163/10376/5594/837/10006/581/9181/55845/203068",27
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","20/656","133/9521",0.150375939849624,2.18251421236017,3.73574026209895,0.000740357355821917,0.00440101317071918,0.00292967920529921,"2885/3569/4088/1026/901/11337/10365/11345/3276/847/5728/604/5594/5290/5605/1032/208/7874/1901/369",20
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","17/656","105/9521",0.161904761904762,2.34984030197445,3.78333535771688,0.000777395312673027,0.00453716173396439,0.00302031097555262,"5336/6850/22800/3569/387/5530/3708/4046/5533/5580/10892/5594/5534/8915/5290/208/4775",17
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","18/656","120/9521",0.15,2.17705792682927,3.5296566165095,0.00137800976651008,0.00789894884017384,0.00525819516168319,"5336/2885/8767/596/10019/387/4214/817/2889/11108/3654/4794/5580/5594/5290/5605/581/208",18
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","18/656","122/9521",0.147540983606557,2.14136845261895,3.45140543725645,0.00166919804110433,0.0093618614540649,0.00623203107124176,"1326/2885/10451/5777/387/5530/5518/84433/4794/5533/10892/5594/5534/8915/5290/5605/208/4775",18
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","20/656","142/9521",0.140845070422535,2.04418584678805,3.41015980024499,0.00169155129076562,0.0093618614540649,0.00623203107124176,"7325/84447/51465/4214/7319/23291/7318/7428/7324/7334/7329/7321/119504/83737/65264/10054/5371/9039/3093/140739",20
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","19/656","134/9521",0.141791044776119,2.0579154532217,3.35483353187554,0.0020194959223515,0.01098742696737,0.00731414223438633,"7462/5336/6850/2885/3460/5579/10451/5777/5530/5880/2185/3459/5533/5594/5534/5290/5605/3454/369",19
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","14/656","87/9521",0.160919540229885,2.33554107092795,3.40408160208015,0.00233550740126908,0.0124949645967896,0.00831768425364251,"5366/2885/596/4088/387/26060/1026/5880/5594/5290/5605/581/208/369",14
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","21/656","159/9521",0.132075471698113,1.91690635066728,3.17154040353799,0.00293005129626022,0.0154187945262218,0.0102640278367701,"9451/2885/1026/5925/7533/5518/3716/10971/5594/7187/5290/5605/3454/581/208/27102/5610/4599/148022/10197/369",21
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","13/656","80/9521",0.1625,2.35847942073171,3.31909805164541,0.00302207125254402,0.0156402504760684,0.0104114472754284,"5336/2885/5579/3569/596/3716/5728/5594/5290/5605/581/208/369",13
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","11/656","62/9521",0.17741935483871,2.57501475216365,3.3844560736951,0.00306958186913491,0.0156402504760684,0.0104114472754284,"7088/51107/1840/6868/3065/8650/23385/4853/441478/83737/3066",11
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","16/656","110/9521",0.145454545454545,2.11108647450111,3.18828650285158,0.00341907581312224,0.0171488021251912,0.0114156643102601,"1536/5336/3460/5579/3569/596/1026/817/3091/3459/5211/7428/5594/5290/5605/208",16
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","12/656","73/9521",0.164383561643836,2.38581690611427,3.23316870775264,0.00390891190049573,0.0193040110778328,0.0128503500534515,"5336/2885/5579/1026/5925/5594/11186/5290/5605/581/208/369",12
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","7/656","31/9521",0.225806451612903,3.27729150275374,3.45459698999054,0.0043711696906936,0.0212597798592825,0.0141522718853397,"7095/9789/6731/6726/6734/5018/7917",7
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","21/656","168/9521",0.125,1.81421493902439,2.8963381453811,0.00562068610676148,0.0269289588100065,0.017926147363277,"1536/3460/142/596/6778/817/7188/3459/293/3716/25978/823/3146/291/3454/581/9525/5610/5481/148022/27183",21
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","18/656","137/9521",0.131386861313869,1.90691205269717,2.90845588964007,0.00596572856382979,0.028161748073373,0.0187467940937685,"1522/9451/1512/5366/1520/142/596/3708/597/1616/27429/10376/823/5594/5290/5605/581/208",18
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","12/656","77/9521",0.155844155844156,2.2618783655369,3.02423748341264,0.00607859093905835,0.0282786621947497,0.0188246218250014,"2885/4088/1026/5925/3065/5594/5290/5605/581/208/3066/369",12
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","21/656","170/9521",0.123529411764706,1.7928712338594,2.83745588173205,0.00643552557038642,0.0295114815442006,0.0196452885832849,"10094/55114/8531/3308/387/10096/4214/5581/81873/7408/10097/5518/6093/10109/10093/7430/10376/7454/4218/51762/9181",21
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","18/656","140/9521",0.128571428571429,1.86604965156794,2.80810449745101,0.00746153535996132,0.033734547190811,0.0224565111648947,"4208/2788/22800/4088/3708/10681/5581/4205/10672/10365/5294/2783/5594/5605/208/7019/10014/8678",18
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","14/656","99/9521",0.141414141414141,2.05244518354274,2.86336397200362,0.00766735074758097,0.0341836054162985,0.0227554415461833,"56994/2885/5579/8527/57153/5880/3091/10434/10163/5594/7454/5290/5605/208",14
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","16/656","122/9521",0.131147540983607,1.90343862455018,2.73192497466107,0.00938031295081549,0.0412476774960517,0.0274578735258189,"5336/489/5579/8202/3091/5211/3065/5594/23389/4853/5290/5605/208/90390/8841/3066",16
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","22/656","189/9521",0.116402116402116,1.6894276680862,2.60413365006624,0.0106320698024874,0.0456269671687604,0.0303730917699897,"1536/1535/10628/8767/3569/596/387/3708/10010/3428/11337/7188/63940/11345/5580/3716/5594/837/7187/3454/10910/148022",22
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","6/656","28/9521",0.214285714285714,3.11008275261324,3.04163983144897,0.0106605063478412,0.0456269671687604,0.0303730917699897,"760/535/9114/8992/9550/9296",6
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","23/656","201/9521",0.114427860696517,1.66077387452979,2.57557357174503,0.0111168305748169,0.0469539817699505,0.0312564626965075,"4208/958/5079/6688/5966/4066/55589/3569/3087/1026/6929/5747/597/2313/2120/3065/6760/604/581/4299/1025/5371/3066",23
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","19/656","157/9521",0.121019108280255,1.75643739319559,2.59969941779029,0.0114411318822316,0.0476961471973552,0.031750509529638,"100133941/240/489/89790/961/5777/817/3091/5747/6868/9844/1847/5594/7376/5878/5605/51552/4775/1901",19
