"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.90024974674215,0.965,0.115,0,"B_cell","MS4A1"
0,4.06052385460355,0.964,0.119,0,"B_cell","CD79A"
0,3.36754511644182,0.979,0.145,0,"B_cell","HLA-DQA2"
0,3.22446475501193,0.888,0.078,0,"B_cell","BANK1"
0,3.14557249172159,0.991,0.185,0,"B_cell","HLA-DQA1"
0,2.75733165868615,0.993,0.197,0,"B_cell","HLA-DRB5"
0,3.61193622018974,0.846,0.059,0,"B_cell","CD19"
0,3.15324607673007,0.997,0.232,0,"B_cell","HLA-DRA"
0,2.72829271903843,0.996,0.238,0,"B_cell","HLA-DRB1"
0,2.58693679530028,0.867,0.13,0,"B_cell","LYN"
0,3.14726045679252,0.846,0.111,0,"B_cell","MEF2C"
0,3.15347683497715,0.862,0.133,0,"B_cell","IRF8"
0,2.58848061369434,0.817,0.093,0,"B_cell","RUBCNL"
0,3.59379093104352,0.785,0.062,0,"B_cell","FCER2"
0,2.65390876452672,0.795,0.072,0,"B_cell","NIBAN3"
0,2.63769169544804,0.942,0.231,0,"B_cell","HLA-DMA"
0,2.67471605149375,0.993,0.3,0,"B_cell","HLA-DQB1"
0,3.03082784688069,0.788,0.105,0,"B_cell","CD40"
0,2.46403779510532,0.916,0.237,0,"B_cell","NCF1"
0,2.7298092952449,0.993,0.316,0,"B_cell","HLA-DPA1"
0,2.84516456788381,0.801,0.126,0,"B_cell","HLA-DMB"
0,4.19757664302541,0.712,0.037,0,"B_cell","VPREB3"
0,2.70981876326003,0.74,0.068,0,"B_cell","CD22"
0,2.90711987034697,0.769,0.101,0,"B_cell","BASP1"
0,2.70872933835855,0.715,0.066,0,"B_cell","LINC00926"
0,2.4224832704628,0.785,0.139,0,"B_cell","RALGPS2"
0,2.1713406345381,0.745,0.099,0,"B_cell","IGHM"
0,3.36583359026976,0.742,0.104,0,"B_cell","SWAP70"
0,2.3962454513575,0.991,0.357,0,"B_cell","HLA-DPB1"
0,2.40884215244265,0.738,0.121,0,"B_cell","AFF3"
0,3.1966378273619,0.678,0.069,0,"B_cell","SPIB"
0,3.07672913535207,0.686,0.079,0,"B_cell","CD72"
0,3.06117552629243,0.666,0.061,0,"B_cell","TNFRSF13C"
0,2.66012479529375,0.822,0.221,0,"B_cell","SNX2"
0,3.08609583615616,0.642,0.048,0,"B_cell","FCRL1"
0,3.32802425032374,0.635,0.042,0,"B_cell","BLK"
0,2.81347594442965,0.675,0.093,0,"B_cell","LAT2"
0,3.29513963131921,0.675,0.097,0,"B_cell","TSPAN33"
0,2.30240062104783,0.938,0.369,0,"B_cell","SYNGR2"
0,2.89039222896228,0.623,0.058,0,"B_cell","ARHGAP24"
0,2.55066990693203,0.635,0.07,0,"B_cell","ADAM28"
0,3.38784946243606,0.67,0.109,0,"B_cell","SMIM14"
0,4.33379358457226,0.593,0.035,0,"B_cell","CD24"
0,4.53685669701383,0.594,0.038,0,"B_cell","TCL1A"
0,3.17166819738944,0.646,0.093,0,"B_cell","CD79B"
0,2.76714552559682,0.605,0.052,0,"B_cell","PDLIM1"
0,3.46477729802686,0.625,0.079,0,"B_cell","HVCN1"
0,2.27595402787458,0.617,0.075,0,"B_cell","TCF4"
0,3.93125077116901,0.595,0.058,0,"B_cell","IGKC"
0,2.35014432558695,0.731,0.195,0,"B_cell","ST6GAL1"
0,2.68089944879874,0.861,0.326,0,"B_cell","LY9"
0,0.789212805026253,0.747,0.22,0,"B_cell","CTSZ"
0,4.25690510315333,0.567,0.043,0,"B_cell","FCRLA"
0,3.11765693731509,0.607,0.084,0,"B_cell","HLA-DOA"
0,3.48073532942442,0.569,0.058,0,"B_cell","POU2AF1"
0,2.58133859625116,0.58,0.069,0,"B_cell","CYBB"
0,1.99999223387261,0.678,0.169,0,"B_cell","FCHSD2"
0,2.12158087831964,0.612,0.107,0,"B_cell","PHACTR1"
